"","CMCSA","FISV","MSFT","JNJ","CSCO","ADS","CL","BBT","AAPL","BFB","Rf","SP500"
"2010-01-04",6.363029,12.3575,24.720928,49.202564,19.797354,64.47139,30.714014,20.13061,20.473503,9.642859,2.652,1132.98999
"2010-01-05",6.276788,12.41,24.728914,48.632034,19.70916,64.598572,30.962397,20.419193,20.508902,9.542484,2.558,1136.52002
"2010-01-06",6.231794,12.3575,24.57715,49.027599,19.580862,64.921478,30.891973,20.850645,20.18268,9.67512,2.573,1137.140015
"2010-01-07",6.363029,12.3,24.321552,48.677677,19.669064,65.518341,30.769632,21.689999,20.145369,9.580124,2.6,1141.689941
"2010-01-08",6.344279,12.1625,24.489288,48.845036,19.7733,66.222847,30.217251,21.446823,20.279305,9.578332,2.566,1144.97998
"2010-01-11",6.303034,12.2275,24.177786,48.852642,19.717173,66.291336,30.083801,21.446823,20.10041,9.614179,2.556,1146.97998
"2010-01-12",6.190547,12.12,24.018032,49.111275,19.404461,65.205238,29.909563,21.517424,19.871763,9.682289,2.482,1136.219971
"2010-01-13",6.288037,12.2225,24.241684,49.423164,19.757263,65.185669,30.050434,21.88612,20.152065,9.883031,2.532,1145.680054
"2010-01-14",6.250539,12.1875,24.728914,49.522072,20.005835,65.254166,29.813177,22.372475,20.035355,9.802376,2.485,1148.459961
"2010-01-15",6.235542,11.985,24.649038,49.111275,19.564821,64.226768,29.657476,21.776291,19.700523,9.650024,2.419,1136.030029
"2010-01-19",6.303034,12.165,24.840738,49.712234,19.925652,65.802101,29.876204,22.097918,20.572037,9.655403,2.456,1150.22998
"2010-01-20",6.194297,11.9975,24.433378,49.560085,19.572844,65.684685,29.364611,22.356789,20.25539,9.576541,2.421,1138.040039
"2010-01-21",5.99932,11.675,23.970112,48.66246,19.228052,62.455738,29.642021,22.811768,19.905249,9.438528,2.362,1116.47998
"2010-01-22",5.943076,11.45,23.131437,48.076717,18.4182,59.999775,30.25684,22.082222,18.917973,9.268257,2.34,1091.76001
"2010-01-25",6.00307,11.52,23.418983,48.091934,18.434231,58.95282,30.166857,21.627247,19.42692,9.277219,2.361,1096.780029
"2010-01-26",5.886831,11.3825,23.562756,47.764828,18.362068,59.119148,30.13312,21.023222,19.701479,9.244954,2.353,1092.170044
"2010-01-27",5.943076,11.5025,23.698549,48.259285,18.562527,59.256142,30.136869,22.1842,19.887072,9.216275,2.383,1097.5
"2010-01-28",5.856835,11.355,23.29118,48.533142,18.057371,58.659275,29.986914,22.215586,19.0653,9.180429,2.409,1084.530029
"2010-01-29",5.935577,11.26,22.508421,47.818069,18.017282,58.179821,30.001913,21.862583,18.373636,9.198358,2.348,1073.869995
"2010-02-01",5.976822,11.45,22.692129,47.993038,18.225758,59.706234,29.96817,22.13714,18.629066,9.264671,2.375,1089.189941
"2010-02-02",6.108057,11.6,22.732069,48.677677,18.45829,60.136757,30.384296,22.294029,18.737165,9.325607,2.357,1103.319946
"2010-02-03",5.98807,11.7475,22.867855,48.403831,18.498383,53.522305,30.298061,21.807667,19.059557,9.209107,2.402,1097.280029
"2010-02-04",5.819339,11.425,22.236853,47.650723,18.570541,51.907829,29.866959,21.125202,18.372683,8.870353,2.305,1063.109985
"2010-02-05",5.781843,11.4325,22.380629,47.650723,19.00354,54.109394,29.713245,21.580179,18.6989,8.872144,2.215,1066.189941
"2010-02-08",5.703104,11.315,22.141001,47.445328,18.84317,54.627975,29.649519,21.282091,18.570709,8.882898,2.263,1056.73999
"2010-02-09",5.770594,11.37,22.372641,47.741997,19.155886,53.806061,30.054388,21.337,18.768732,9.10515,2.307,1070.52002
"2010-02-10",5.740598,11.3825,22.356657,47.719177,19.051647,53.013496,29.92318,21.470364,18.66637,9.096191,2.369,1068.130005
"2010-02-11",5.748097,11.61,22.460506,47.856106,19.187962,53.434246,30.114368,21.329161,19.005989,9.096191,2.374,1078.469971
"2010-02-12",5.751848,11.5875,22.308741,47.711563,19.051647,52.70039,29.863197,21.117359,19.169575,9.078263,2.334,1075.51001
"2010-02-16",5.875583,11.7375,22.750099,48.388607,19.244091,53.013496,30.223091,21.501732,19.458488,9.167883,2.3,1094.869995
"2010-02-17",5.871834,11.78,22.942692,48.670071,19.300217,52.827595,30.440523,21.352688,19.377171,9.32023,2.388,1099.51001
"2010-02-18",5.898079,11.765,23.247629,49.088451,19.468603,54.138744,30.905378,21.376225,19.413525,9.458244,2.444,1106.75
"2010-02-19",5.99932,11.8975,23.087132,48.912151,19.532749,55.655373,30.646706,21.423288,19.292986,9.488717,2.463,1109.170044
"2010-02-22",6.070561,11.8275,23.055035,48.66687,19.484638,55.919556,30.770424,22.129295,19.173403,9.469,2.448,1108.01001
"2010-02-23",6.051813,11.7625,22.734047,48.5289,19.284184,54.774742,30.699198,21.768446,18.851965,9.390136,2.353,1094.599976
"2010-02-24",6.156802,11.9225,22.974791,48.636208,19.516714,55.175919,31.100307,22.341093,19.196365,9.538901,2.36,1105.23999
"2010-02-25",6.051813,11.9825,22.950714,48.505894,19.508694,54.872593,31.156548,22.144983,19.324553,9.512015,2.338,1102.939941
"2010-02-26",6.1643,12.0525,23.006887,48.29126,19.508694,54.246376,31.092817,22.380312,19.575197,9.384758,2.284,1104.48999
"2010-03-01",6.310533,12.2275,23.287754,48.590218,19.725187,54.990013,31.411474,21.807667,19.993259,9.576541,2.283,1115.709961
"2010-03-02",6.299286,12.2625,22.838366,48.62854,19.733213,55.870628,31.437717,21.815519,19.979864,9.667948,2.273,1118.310059
"2010-03-03",6.359278,12.3025,22.838366,48.597889,19.917625,57.230705,31.437717,21.478203,20.025789,9.682289,2.27,1118.790039
"2010-03-04",6.438018,12.2875,22.974791,48.728188,20.005835,57.876499,31.550179,21.815519,20.15781,9.998044,2.275,1122.969971
"2010-03-05",6.535508,12.4325,22.942692,49.088448,20.214312,59.060448,31.568922,22.380312,20.946098,10.160957,2.343,1138.699951
"2010-03-08",6.584254,12.4775,22.974791,49.211098,20.952002,58.903893,31.471445,22.521513,20.958532,10.153635,2.355,1138.5
"2010-03-09",6.565506,12.515,23.111204,49.264759,20.952002,59.569256,31.677641,22.607809,21.335455,10.230514,2.338,1140.449951
"2010-03-10",6.573004,12.625,23.247629,49.280102,20.743526,60.381382,31.332752,23.243214,21.509565,10.029163,2.378,1145.609985
"2010-03-11",6.588002,12.5625,23.416149,49.226437,20.823706,61.350071,31.520184,23.862926,21.57271,10.133502,2.41,1150.23999
"2010-03-12",6.531759,12.605,23.488371,49.195782,20.751539,61.398994,31.54644,24.082575,21.677944,10.138993,2.417,1149.98999
"2010-03-15",6.573004,12.6725,23.504421,49.494728,20.911911,62.719925,31.62891,24.145323,21.4139,10.076756,2.405,1150.51001
"2010-03-16",6.558006,12.665,23.568624,49.46405,20.968039,64.265907,31.722622,24.780735,21.472258,10.170108,2.348,1159.459961
